subject,sessionIndex,rep,Hold,Down-Down,Up-Down
Andy,1,1,0.14217639,0.156879902,0.014703512
Andy,1,2,0.141793013,0.164634705,0.022841692
Andy,1,3,0.157151937,0.147219658,-0.00993228
Andy,1,4,0.15867281,0.142487288,-0.016185522
Andy,1,5,0.166582584,0.157102108,-0.009480476
Andy,1,6,0.171179533,0.16161871,-0.009560823
Andy,1,7,0.15350318,0.144393206,-0.009109974
Andy,1,8,0.209047318,0.201280117,-0.0077672
Andy,1,9,0.130247116,0.117078304,-0.013168812
Andy,1,10,0.178874254,0.124667406,-0.054206848
Andy,2,1,0.117947578,0.170466661,0.052519083
Andy,2,2,0.135993958,0.104242802,-0.031751156
Andy,2,3,0.16840291,0.211970329,0.043567419
Andy,2,4,0.17665267,2.049311876,1.872659206
Andy,2,5,0.150921345,0.13762784,-0.013293505
Andy,2,6,0.162541151,0.114761114,-0.047780037
Andy,2,7,0.16474247,0.175814629,0.011072159
Andy,2,8,0.170835972,0.12778306,-0.043052912
Andy,2,9,0.137289286,0.165837765,0.028548479
Andy,2,10,0.127351046,0.164518595,0.037167549
Andy,3,1,0.153759956,0.11170435,-0.042055607
Andy,3,2,0.144240141,0.108228207,-0.036011934
Andy,3,3,0.161503315,0.127709627,-0.033793688
Andy,3,4,0.147986412,0.11184597,-0.036140442
Andy,3,5,0.16108942,0.134704351,-0.026385069
Andy,3,6,0.183955193,0.117904186,-0.066051006
Andy,3,7,0.177503586,0.114837646,-0.062665939
Andy,3,8,0.140776634,0.103901625,-0.03687501
Andy,3,9,0.153513432,0.131366968,-0.022146463
Andy,3,10,0.17138052,0.112357378,-0.059023142
Andy,4,1,0.179766893,0.104925871,-0.074841022
Andy,4,2,0.173303366,0.154073954,-0.019229412
Andy,4,3,0.154424667,0.322255611,0.167830944
Andy,4,4,0.147380114,0.111523151,-0.035856962
Andy,4,5,0.169394016,0.109522343,-0.059871674
Andy,4,6,0.156219721,0.139820576,-0.016399145
Andy,4,7,0.16429019,0.192928553,0.028638363
Andy,4,8,0.105300426,0.143390417,0.038089991
Andy,4,9,0.172066689,0.102614164,-0.069452524
Andy,4,10,0.178138971,0.135308504,-0.042830467
Andy,5,1,0.164176702,0.171209097,0.007032394
Andy,5,2,0.150943756,0.154207468,0.003263712
Andy,5,3,0.14504981,0.086164236,-0.058885574
Andy,5,4,0.161444187,0.118108988,-0.043335199
Andy,5,5,0.174237013,0.115035295,-0.059201717
Andy,5,6,0.16045928,0.685633183,0.525173903
Andy,5,7,0.128114223,0.098193645,-0.029920578
Andy,5,8,0.16233325,0.208008289,0.045675039
Andy,5,9,0.1746912,0.358166695,0.183475494
Andy,5,10,0.121511221,0.145941734,0.024430513
Andy,6,1,0.157338381,-1.068544865,-1.225883245
Andy,6,2,0.154644251,0.128158092,-0.026486158
Andy,6,3,0.153713703,0.134837151,-0.018876553
Andy,6,4,0.164535046,0.128984928,-0.035550117
Andy,6,5,0.151081562,-1.553277254,-1.704358816
Andy,6,6,0.17160511,0.141781807,-0.029823303
Andy,6,7,0.128218412,0.185220003,0.057001591
Andy,6,8,0.16237545,0.11943841,-0.04293704
Andy,6,9,0.160477638,0.117947102,-0.042530537
Andy,6,10,0.16494441,0.151841164,-0.013103247
Andy,7,1,0.159127712,0.099390984,-0.059736729
Andy,7,2,0.145867109,0.119893312,-0.025973797
Andy,7,3,0.152989626,0.121241808,-0.031747818
Andy,7,4,0.151621103,0.111965656,-0.039655447
